款式编号,款式名称,款式性别,产品线,款式分类,审核状态,是否定制,可做镶口,可做材质,材质颜色
KLPW029130,橄榄石玫瑰金吊坠,女,宝石,吊坠,保存,否,0,18K|PT950,玫瑰金|玫瑰黄|玫瑰白|黄白|分色
KLSW028870,PT950 手链,女,PT,手链,已审核,是,0,PT950,白
KLSW028731,18k-黄色手链,女,K金,手链,已审核,是,0,18K,黄
KLDW028730,18k-黄色玫瑰花形车花仿钻耳钉五瓣,女,K金,耳饰,已审核,是,0,18K,黄
KLDW028729,18k-黄色玫瑰花形车花仿钻耳钉六瓣,女,K金,耳饰,已审核,是,0,18K,黄
KLDW028728,18k-黄色LOVE光面耳钉,女,K金,耳饰,已审核,是,0,18K,黄
KLDW028727,18K-黄色镂空菱形耳钉,女,K金,耳饰,已审核,是,0,18K,黄
KLZW028726,18K-黄色球形车花耳坠,女,K金,耳饰,已审核,是,0,18K,黄
KLZW028725,18K-三色球形车花耳坠,女,K金,耳饰,已审核,是,0,18K,彩金
KLDW028724,18K-玫瑰色蝴蝶水滴车花耳坠,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028723,18K-玫瑰色镂空双球形车花耳钉,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028722,18K-玫瑰色四叶草镂空车花耳钉,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028721,18K-三色镂空半球形耳钉,女,K金,耳饰,已审核,是,0,18K,彩金
KLDW028720,18k-玫瑰色镂空菱形耳钉,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028718,18K-玫瑰色镂空车花耳钉,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028717,18K-白色镂空双球形耳钉,女,K金,耳饰,已审核,是,0,18K,白
KLDW028716,18K-白色镂空球形耳钉,女,K金,耳饰,已审核,是,0,18K,白
KLDW028715,18K白色  耳钉,女,K金,耳饰,已审核,是,0,18K,白
KLDW028714,18K玫瑰金  耳钉,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028713,18K玫瑰金  耳钉,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028712,18K玫瑰金  耳钉,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028711,18K黄色金  耳钉,女,K金,耳饰,已审核,是,0,18K,黄
KLDW028710,18K黄色金  耳钉,女,K金,耳饰,已审核,是,0,18K,黄
KLDW028709,18K黄色金  耳钉,女,K金,耳饰,已审核,是,0,18K,黄
KLDW028708,18K黄色金 耳钉,女,K金,耳饰,已审核,是,0,18K,黄
KLDW028707,18K玫瑰金+K黄色  双色耳钉,女,K金,耳饰,已审核,是,0,18K,彩金
KLDW028706,18K玫瑰金  耳钉,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW028705,18K玫瑰金+K黄色 双色耳钉,女,K金,耳饰,已审核,是,0,18K,彩金
KLZW028704,18K黄色金 耳坠,女,K金,耳饰,已审核,是,0,18K,黄
KLZW028703,18K黄色金  耳坠,女,K金,耳饰,已审核,是,0,18K,黄
KLZW028702,18K黄色金  耳坠,女,K金,耳饰,已审核,是,0,18K,黄
KLZW028701,18K白色金  耳坠,女,K金,耳饰,已审核,是,0,18K,白
