货号,款号,老款式分类,老产品线,新产品线,新款式分类,正确新产品线,正确新款式分类
1108031845,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1108031948,仅售现货,,钻石饰品,宝石,套链,钻石,女戒
1108031950,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1108031957,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111018732,仅售现货,,钻石饰品,宝石,套链,钻石,女戒
1111018737,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111018747,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111018750,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024747,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024748,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024750,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024752,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024755,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024760,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024806,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024847,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1111024862,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1112044331,仅售现货,,钻石饰品,宝石,套链,钻石,女戒
1112044365,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1112046565,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1112046567,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1112046572,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1112046577,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1204000954,仅售现货,,钻石饰品,宝石,套链,钻石,其他
1206010870,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1206010887,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1206010891,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1206011296,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1206014780,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1206014794,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1206014797,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1206014833,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1206014835,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1206014836,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1206014843,仅售现货,戒指,素金饰品,宝石,套链,K金,女戒
1208012450,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1208016677,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1208016687,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1208016697,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1208016706,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1208016740,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1208017061,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1210005835,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1211045112,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1211047632,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1211047633,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1211047634,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1211047636,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1212039027,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1212043262,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1212043270,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301023490,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301023499,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301023500,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301023567,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301030224,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301030225,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301030226,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301030227,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301030228,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1301030229,仅售现货,戒指,钻石饰品,宝石,套链,钻石,女戒
1409297066,仅售现货,戒指,黄金饰品及工艺品,宝石,套链,普通黄金,情侣戒
150702680494,仅售现货,戒指,钻石,宝石,套链,钻石,女戒
150702680496,仅售现货,戒指,钻石,宝石,套链,钻石,女戒
150702680497,仅售现货,戒指,钻石,宝石,套链,钻石,女戒
150702683200,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683201,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683202,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683203,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,女戒
150702683204,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
150702683207,仅售现货,戒指,普通黄金,宝石,套链,普通黄金,情侣戒
